_id,bgColor,createdAt,deleted,order,removedBy,slug,status,title,updatedAt,userId,workspaceId
ZuKAuRP7M4tfmAQNd,"rgb(20,14,169)",2018-09-13T01:55:26.476Z,true,3,,---,public,,2018-09-13T01:55:42.112Z,5fDT25YHWKd98iP5q,ELPZs6vTqhGzzBAzq
X6EBBAq4e6N9Xkdxk,"rgb(22,175,183)",2018-09-13T01:55:28.941Z,true,4,,---,public,,2018-09-13T01:55:34.407Z,5fDT25YHWKd98iP5q,ELPZs6vTqhGzzBAzq
YMLFSxoT6GpXP2Fwh,"rgba(52,110,84,1)",2018-09-13T12:59:17.225Z,false,0,,about-me,public,About Me,2018-12-05T17:15:13.456Z,BJFWQo6gTbiGhreYF,QvTjjShixGBrnpjyN
Fxze3F8ZA9vnu89Qg,"rgb(69,137,206)",2018-09-13T14:11:46.800Z,false,2,,week-2,public,Week 2,2018-09-21T05:24:50.953Z,zXFnQwb6rdhSQWuGd,wa9fkhCXPgXL5Xca3
BWwgc7u8KC9xhh4JX,"rgb(10,204,167)",2018-09-13T16:24:43.323Z,false,17,,week-1,public,Week 1,2018-12-05T17:15:13.634Z,BJFWQo6gTbiGhreYF,QvTjjShixGBrnpjyN
MRdQXq4D2mZb7arPR,"rgba(11,193,25,1)",2018-09-13T16:24:52.847Z,false,13,,week-2,public,Week 2,2018-12-05T17:15:13.624Z,BJFWQo6gTbiGhreYF,QvTjjShixGBrnpjyN
477nFzToGNxpZZTo3,"rgb(7,119,122)",2018-09-13T18:32:52.640Z,true,2,,week-2,public,Week 2,2018-11-09T06:33:16.516Z,4EMMkd4vtihTuEZ9o,gQvtZmLcpiBooDrCg
eEnBg3fKX2FjYdpyv,"rgb(234,208,203)",2018-09-13T19:38:49.955Z,true,2,,week-2-online-learning-perspective,public,Week 2 - Online Learning Perspective,2018-09-13T19:41:53.659Z,YRMr5ejhtpqiEcoaL,CfPWoJwMZZZhzd5R4
EougAWeGSrR7cfySS,"rgb(129,191,186)",2018-09-14T00:34:28.483Z,false,1,,weekly-1,public,Weekly 1,2018-09-18T23:02:14.591Z,Enke95Wm2oP979qYz,MbCgpyEDGs5HJz2zZ
gmyLcZEvZgwrEiCna,"rgba(113,197,251,1)",2018-09-08T03:21:38.728Z,true,4,,week-2,public,Week 2,2018-10-11T21:10:15.442Z,fKE2sTfNXxsDMxGg3,TuAmtRWKepNmGqP46
C8hcGif26Wf2ciCHy,"rgba(0,122,251,1)",2018-09-06T18:01:24.411Z,true,0,,week-1,public,Week 1,2018-10-11T21:11:17.093Z,fKE2sTfNXxsDMxGg3,TuAmtRWKepNmGqP46
